Sample_near,Sample_far,Notes,ACH,Ct_near,Ct_far,Duration
R21,R22,Sitting,0,28.266666666666666,31.5666666666667,110
R29,R30,Sitting,0,26.233333333333334,28.0666666666667,12
R39,R40,Sitting,0,29.066666666666666,40,25
R55,R56,Sitting,0,30.8,30.4666666666667,10
R65,R66,Sitting,0,40,32.4333333333333,25
R127,R128,Sitting,0,27.5,40,15
R147,R148,Sitting,0,24.5,25.7,60
R157,R158,Sitting,0,32.63333333333333,27.25,60
R167,R168,Sitting,0,33.05,30.1,45
R439,R440,Standing,0,40,40,60
R805,R806,Sitting,0,32.53333333333334,32.0666666666667,60
R815,R816,Standing,0,28.233333333333334,31.2,60
R825,R826,Sitting,0,34.15,33.3666666666667,62
R863,R864,Sitting,0,40,40,63
H20,H21,Sitting,0,31.55,30.65,60
H77,H78,Standing,0,30.9,30,60
H100,H101,Sitting,0,30.2,29.4,60
H197,H198,Sitting,0,29.25,29.7,59
H278,H279,Sitting,0,26.3,28.25,60
H289,H290,Standing,0,29.05,30.45,61
H335,H336,Sitting,0,29.85,30,60
H365,H366,Sitting,0,29.85,30.2,61
H445,H446,Sitting,0,29.7,40,60
H530,H531,Sitting,0,40,40,60
H541,H543,Standing,0,40,40,62
H576,H577,Sitting,0,40,40,70
H619,H620,Sitting,0,40,40,60
H630,H632,Standing,0,40,40,60
H704,H705,Sitting,0,40,40,61
H754,H755,Sitting,0,31.46666666666667,40,60
H843,H844,Sitting,0,29.049999999999997,32.95,60
H854,H855,Standing,0,29.6,31.85,60
H889,H890,Sitting,0,30.7,31.95,62
H927,H928,Sitting,0,32.45,40,66
H1025,H1026,Sitting,0,40,31.6,62
H1106,H1107,Sitting,0,40,40,60
H1117,H1118,Standing,0,40,40,60
H1163,H1164,Sitting,0,40,40,62
H1190,H1191,Sitting,0,40,40,60
H1282,H1283,Sitting,0,40,40,69
