Sample_Dehumidification,Sample_humidification,Ct_dehumidification,Ct_humidification
R276,R297,31.9,40
R277,R297,40,40
R376,R409,27.049999999999997,40
R740,R763,40,40
R741,R764,28.666666666666668,40
R752,R763,40,40
R753,R764,29,40
R940,R963,40,40
R941,R964,40,40
R952,R963,33.35,40
R953,R964,40,40
H208,H231,30.55,30.7
H209,H232,30.85,31
H220,H231,30.8,30.7
H221,H232,31.45,31
H468,H491,29.85,30.333333333333332
H469,H492,30.133333333333336,40
H479,H491,31.15,30.333333333333332
H480,H492,32.599999999999994,40
H799,H788,33.2,40
H800,H789,40,40
H1036,H788,33.55,40
H1037,H789,32.53333333333333,40
H1048,H788,32.05,40
H1049,H789,40,40
H1293,H788,40,40
H1294,H789,40,40
H1304,H788,40,40
H1305,H789,40,40
